COUNTRY_OF_ASYLUM,RETURN_DATE,ORIG_PROV_NAME,ORIG_DIST_NAME,DESTINATION_PROV_NAME,DESTINATION_DIST_NAME,INDIVIDUALS,MALE,FEMALE,
#country,#date+occurred,#admin1+name+x_origin,#admin2+name+x_origin,#admin1+name+x_destination,#admin2+name+x_destination,#affected+displaced+all,#affected+displaced+m,#affected+displaced+f,
Other,19-Feb-18,Kabul,Kabul,Kabul,Kabul,1,0,1,
Iran,19-Feb-18,Balkh,Mazar-e-Sharif,Balkh,Mazar-e-Sharif,1,1,0,
Iran,19-Feb-18,Laghman,Alishang,Kabul,Kabul,1,0,1,
Iran,19-Feb-18,Wardak,Markaz-e-Behsud,Wardak,Markaz-e-Behsud,1,1,0,
Iran,20-Feb-18,Farah,Farah,Herat,Herat,1,1,0,
Iran,20-Feb-18,Parwan,Jabalussaraj,Kabul,Kabul,1,0,1,
Iran,21-Feb-18,Daykundi,Ashtarlay,Herat,Herat,1,1,0,
Iran,21-Feb-18,Ghor,Lal Wa Sarjangal,Herat,Herat,1,0,1,
Iran,21-Feb-18,Kabul,Kabul,Kabul,Kabul,1,1,0,
Iran,21-Feb-18,Samangan,Dara-e- Suf-e- Payin,Herat,Herat,1,0,1,
Iran,25-Feb-18,Kabul,Kabul,Kabul,Kabul,1,1,0,
Iran,26-Feb-18,Bamyan,Waras,Kabul,Kabul,1,0,1,
Iran,26-Feb-18,Bamyan,Yakawlang,Kabul,Kabul,1,0,1,
Iran,26-Feb-18,Daykundi,Miramor,Kabul,Kabul,1,1,0,
Iran,26-Feb-18,Daykundi,Nili,Kabul,Kabul,1,0,1,
Iran,26-Feb-18,Kabul,Kabul,Herat,Herat,1,1,0,
Iran,27-Feb-18,Balkh,Mazar-e-Sharif,Herat,Herat,1,1,0,
Iran,27-Feb-18,Daykundi,Shahrestan,Daykundi,Shahrestan,1,1,0,
Iran,27-Feb-18,Herat,Herat,Herat,Herat,2,0,2,
Iran,01-Mar-18,Kabul,Kabul,Kabul,Kabul,1,0,1,
Iran,01-Mar-18,Kapisa,Nejrab,Kabul,Kabul,1,1,0,
Pakistan,03-Mar-18,Kunduz,Dasht-e-Archi,Kunduz,Dasht-e-Archi,3,1,2,
Iran,04-Mar-18,Daykundi,Nili,Kabul,Kabul,1,1,0,
Pakistan,04-Mar-18,Nangarhar,Batikot,Nangarhar,Jalalabad,1,1,0,
Pakistan,04-Mar-18,Nangarhar,Jalalabad,Laghman,Alingar,4,4,0,
Iran,05-Mar-18,Badakhshan,Fayzabad,Badakhshan,Fayzabad,1,0,1,
Iran,05-Mar-18,Daykundi,Nili,Daykundi,Nili,5,4,1,
Iran,05-Mar-18,Herat,Herat,Herat,Herat,1,1,0,
Pakistan,05-Mar-18,Kunar,Dara-e-Pech,Nangarhar,Jalalabad,4,2,2,
Pakistan,05-Mar-18,Nangarhar,Jalalabad,Nangarhar,Surkhrod,5,3,2,
Iran,06-Mar-18,Balkh,Mazar-e-Sharif,Kabul,Kabul,2,1,1,
Iran,06-Mar-18,Bamyan,Waras,Kabul,Kabul,3,0,3,
Iran,06-Mar-18,Bamyan,Yakawlang,Kabul,Kabul,1,0,1,
Iran,06-Mar-18,Ghazni,Ghazni,Kabul,Kabul,1,1,0,
Iran,06-Mar-18,Herat,Herat,Herat,Herat,1,1,0,
Iran,06-Mar-18,Herat,Herat,Kabul,Kabul,2,0,2,
Iran,06-Mar-18,Kabul,Kabul,Kabul,Kabul,1,0,1,
Iran,06-Mar-18,Laghman,Alingar,Laghman,Alingar,1,1,0,
Pakistan,06-Mar-18,Baghlan,Nahrin,Baghlan,Nahrin,1,1,0,
Pakistan,06-Mar-18,Baghlan,Pul-e- khumri,Baghlan,Pul-e- khumri,3,1,2,
Pakistan,06-Mar-18,Hilmand,Lashkargah,Herat,Herat,3,0,3,
Pakistan,06-Mar-18,Kabul,Bagrami,Kabul,Bagrami,1,1,0,
Pakistan,06-Mar-18,Kabul,Kabul,Kabul,Kabul,12,5,7,
Pakistan,06-Mar-18,Kandahar,Daman,Kandahar,Kandahar,10,5,5,
Pakistan,06-Mar-18,Kandahar,Kandahar,Kandahar,Kandahar,3,3,0,
Pakistan,06-Mar-18,Kandahar,Spinboldak,Herat,Herat,1,1,0,
Pakistan,06-Mar-18,Kunduz,Dasht-e-Archi,Kunduz,Dasht-e-Archi,3,0,3,
Pakistan,06-Mar-18,Logar,Pul-e- Alam,Kabul,Kabul,2,1,1,
Pakistan,06-Mar-18,Nangarhar,Achin,Nangarhar,Achin,4,3,1,
Pakistan,06-Mar-18,Nangarhar,Jalalabad,Kabul,Dehsabz,4,2,2,
Pakistan,06-Mar-18,Nangarhar,Surkhrod,Nangarhar,Jalalabad,1,1,0,
Pakistan,06-Mar-18,Nangarhar,Surkhrod,Nangarhar,Surkhrod,4,1,3,
Pakistan,06-Mar-18,Sar-e-Pul,Sayad,Jawzjan,Shiberghan,3,2,1,
